userMediaCount,medLikeNumbers,medCommentNumbers,medHashtagNumbers,medUploadIntervals,medUploadHours,countHasLocationInfo,followerCount,followingCount,hasExternalUrl,tagCounts,biographyLength,usernameLength,isFake
68,15.0,0.0,2.0,10.0,16.0,28,319,391,0,39,0,10,0
63,50.0,0.0,1.0,0.0,14.0,41,736,1065,1,78,141,16,1
210,40.0,0.0,1.0,1.0,14.0,165,666,955,1,46,76,13,0
77,75.0,0.0,1.0,12.5,18.0,58,548,453,0,33,35,9,0
244,111.0,4.0,29.0,1.0,7.0,59,3383,1115,1,37,116,10,1
78,151.5,6.0,0.0,8.0,5.5,58,2000,1611,0,176,90,14,1
11,23.0,1.0,0.0,14.5,22.0,0,95,275,0,2,0,12,0
0,0.0,0.0,0.0,3.5,16.0,0,287,332,0,25,40,14,0
18,3.0,0.5,0.0,0.0,16.0,0,128,254,0,66,0,8,0
41,124.0,2.0,0.0,6.5,18.0,12,4015,4868,0,20,44,18,1
121,51.0,1.0,11.0,1.0,14.0,0,1563,2120,0,3,6,7,1
20,121.5,0.0,5.5,16.0,16.5,13,421,473,0,1,56,14,0
114,27.0,1.0,10.0,0.0,17.0,28,546,906,0,20,146,10,1
101,2348.0,13.0,7.0,6.0,16.0,16,26744,1111,1,272,86,13,1
0,0.0,0.0,0.0,3.5,16.0,0,221,223,0,0,0,6,0
43,81.0,2.0,0.0,9.5,18.0,5,271,268,0,24,34,11,0
96,67.0,0.0,1.0,5.0,18.0,50,610,489,0,15,55,13,0
3,63.0,3.0,0.0,20.0,10.0,0,148,285,0,2,25,15,0
0,0.0,0.0,0.0,3.5,16.0,0,88,221,0,0,31,11,0
9,11.0,0.0,0.0,0.0,16.0,1,396,1567,0,0,0,11,1
44,14.5,0.0,0.0,12.0,14.0,4,57,106,0,6,0,14,0
77,58.0,2.0,0.0,10.5,17.0,13,366,555,0,18,30,10,0
10,23.0,0.0,3.5,6.0,17.0,1,446,474,0,96,0,15,0
17,134.0,2.0,0.0,14.0,19.0,0,1739,1600,0,1,86,13,1
684,33.0,0.0,4.0,1.0,16.0,145,513,568,0,47,15,9,0
239,317.0,3.0,0.0,1.0,0.0,0,13428,5996,0,135,149,22,1
0,0.0,0.0,0.0,3.5,16.0,0,107,112,0,2,0,18,0
178,66.5,0.0,8.0,2.0,14.0,130,546,618,0,29,139,11,0
91,18.0,0.0,0.0,0.0,14.0,1,1310,774,1,5,132,13,1
129,18.0,0.0,2.0,5.0,19.0,85,117,111,0,32,0,6,0
18,29.0,0.0,3.5,11.0,12.0,3,145,141,1,1,137,13,0
74,102.0,1.0,0.0,0.0,16.0,73,6462,5357,0,14,44,6,1
481,69.0,0.0,2.0,2.0,16.0,324,1190,1299,0,91,0,14,0
354,80.0,0.5,11.0,0.0,16.0,1,898,38,1,20,99,7,1
92,945.0,7.0,0.0,1.0,13.5,11,22630,808,0,66,114,16,1
9,100.0,4.0,1.0,109.5,18.0,9,585,897,0,44,13,11,0
411,86.0,2.0,0.0,2.0,16.0,299,967,1331,1,56,14,6,0
451,42.0,3.0,3.0,2.0,10.0,92,10009,2624,1,108,114,16,1
188,87.5,0.0,2.0,9.0,7.5,87,14285,1740,0,6,141,9,1
98,38.0,0.0,0.0,5.0,16.0,84,292,369,0,11,12,7,0
6,73.5,1.5,0.0,27.0,15.5,6,194,256,0,3,13,12,0
47,38.0,0.0,1.0,15.5,17.0,16,314,430,0,49,33,9,0
1,369.0,84.0,0.0,3.5,9.0,0,1420,358,0,117,27,8,1
39,226.0,4.0,0.0,6.0,20.0,18,664,830,0,32,33,13,0
928,77.5,1.0,28.0,1.0,13.0,815,4510,842,1,238,138,13,1
1000,56.5,2.0,4.0,1.0,15.0,495,11604,7399,0,300,106,10,1
113,500.0,10.0,5.0,6.0,7.0,54,20443,811,1,172,52,13,1
50,43.5,0.0,0.0,9.0,15.0,42,226,279,0,15,0,13,0
621,77.0,3.0,18.0,1.0,6.0,202,10736,1826,1,68,150,14,1
117,45.0,2.0,29.0,5.0,4.0,106,2751,5985,0,14,150,13,1
158,8.0,0.0,0.0,0.0,10.0,0,397,245,1,0,107,12,1
674,88.0,4.0,28.0,1.0,6.0,139,9430,4584,1,83,138,9,1
0,0.0,0.0,0.0,3.5,16.0,0,74,92,0,0,12,9,0
613,18.0,0.0,1.0,1.0,17.0,359,989,898,0,18,26,9,0
82,88.0,2.0,26.0,1.0,15.5,9,9312,6663,0,7,9,14,1
4,41.0,2.0,0.0,127.0,20.0,1,175,298,0,84,0,16,0
207,21.0,0.0,0.0,3.0,16.0,12,831,896,0,121,0,14,0
38,175.5,3.0,0.0,11.0,19.0,10,371,370,0,40,19,13,0
23,61.0,2.0,1.0,46.5,18.0,6,361,415,0,45,0,12,0
676,187.0,7.0,0.0,1.0,12.0,227,12869,4454,1,119,141,17,1
123,60.0,0.0,0.0,9.0,17.0,58,622,546,0,67,16,13,0
30,206.0,4.0,1.0,1.0,11.0,30,1567,4441,0,24,112,19,1
1000,50.0,2.0,13.0,1.0,18.0,333,12814,1888,1,457,144,13,1
1000,56.0,2.0,2.0,1.0,6.0,903,6273,1508,1,3651,130,16,1
260,92.0,2.0,27.0,1.0,17.0,118,9308,4629,1,47,127,17,1
2,142.5,2.5,0.5,89.0,11.5,0,441,549,0,7,0,17,0
85,84.0,1.0,0.0,6.5,18.0,32,464,598,0,24,81,9,0
25,572.0,7.0,28.0,3.0,9.0,0,12440,4971,1,18,106,10,1
88,301.5,8.0,6.0,8.0,13.0,47,3476,1756,1,45,123,12,1
146,34.0,1.0,13.0,1.0,15.0,118,1193,3419,1,7,148,12,1
94,56.5,1.0,0.0,4.0,16.0,76,264,1803,0,3,65,13,0
240,25.0,1.0,0.0,5.0,14.0,43,629,648,1,83,0,11,0
192,21.5,0.0,6.0,1.0,15.0,129,194,260,0,4,0,15,0
1000,10.0,0.0,4.0,0.0,17.0,0,11687,3874,0,0,133,14,1
912,87.0,4.0,15.0,1.0,10.0,453,23013,1990,1,277,119,13,1
31,101.0,3.0,0.0,6.0,14.0,25,2402,2680,1,20,123,13,1
5,56.0,1.0,0.0,80.5,20.0,1,240,279,0,2,4,9,0
1,61.0,15.0,4.0,3.5,0.0,1,325,396,0,6,0,12,0
54,106.5,2.0,0.0,8.0,19.0,22,1827,660,1,44,50,16,1
80,128.0,1.0,0.0,15.0,19.0,1,682,636,0,121,0,17,0
40,39.5,0.0,0.0,22.0,17.5,21,504,469,0,61,0,11,0
926,101.0,2.0,17.0,0.0,15.0,404,9080,2708,1,1009,148,10,1
385,54.0,0.0,6.0,1.0,14.0,19,4771,874,1,10,121,9,1
449,59.0,1.0,6.0,2.0,16.0,204,11812,6503,1,291,62,20,1
6,50.0,3.0,5.0,44.0,19.5,5,99,107,0,0,0,8,0
192,39.5,0.0,0.0,5.0,17.0,18,379,446,0,60,0,10,0
10,225.0,3.0,0.0,78.0,16.0,1,1546,677,0,16,13,14,1
325,110.0,5.0,23.0,0.0,6.0,0,23822,3035,0,4,60,10,1
48,598.0,25.0,0.0,3.0,7.0,26,7603,2179,0,73,92,9,1
749,32.0,1.0,23.0,1.0,18.0,0,891,2813,1,56,137,12,1
9,492.0,10.0,0.0,5.5,3.0,1,7301,3818,1,13,77,10,1
695,46.0,3.0,6.0,1.0,9.0,14,17305,3535,1,89,141,17,1
61,36.0,0.0,0.0,4.5,14.0,55,493,634,1,7,88,8,1
152,13.0,0.0,0.0,3.0,14.0,34,280,230,0,0,148,13,0
81,201.0,10.0,9.0,1.0,20.0,6,4347,1761,1,89,75,17,1
72,33.0,0.0,1.0,5.0,16.0,9,363,445,0,20,42,11,0
6,27.0,0.5,0.0,19.0,11.0,1,117,81,0,0,50,9,0
2,71.0,0.0,0.0,1583.0,12.5,0,163,155,0,4,0,11,0
99,32.0,0.0,0.0,2.0,12.0,38,806,1261,1,3,137,9,1
1000,29.0,1.0,7.0,0.0,18.0,283,6061,2223,0,114,132,18,1
58,26.5,2.5,3.0,2.0,17.0,14,1771,1898,0,0,15,9,1
17,84.0,0.0,1.0,49.5,16.0,8,395,369,0,30,18,13,0
135,34.0,1.0,6.0,2.0,15.0,16,1940,1800,0,27,147,8,1
171,31.0,1.0,6.0,3.0,17.0,19,511,546,0,36,88,7,0
165,8.0,0.0,1.0,1.0,6.0,26,461,346,1,3,99,12,1
1000,124.0,4.0,4.0,1.0,12.0,408,23744,7363,1,742,139,13,1
16,1155.0,15.0,0.0,5.0,4.5,0,23571,1282,1,3,113,9,1
97,50.0,2.0,12.0,2.0,21.0,95,1612,7108,1,36,133,12,1
8,7.0,0.0,5.0,6.0,9.0,0,24,50,0,0,63,16,1
6,34.0,0.5,0.0,24.0,16.5,0,219,198,0,0,0,12,0
464,11.0,0.0,0.0,2.0,14.0,52,470,683,0,115,0,7,0
2,1133.5,4.5,0.0,0.0,15.0,0,1390,404,0,0,119,8,1
48,201.0,3.0,29.0,1.0,15.0,6,2349,1641,1,16,48,11,1
191,36.0,2.0,28.0,1.0,10.0,75,656,1824,1,2,93,19,1
162,23.0,0.0,0.0,1.0,8.0,141,453,457,0,1,47,10,0
9,214.0,1.0,1.0,49.0,21.0,9,630,695,0,5,8,12,0
15,26.0,1.0,0.0,15.5,15.0,0,1772,963,0,22,127,8,1
91,47.0,1.0,2.0,5.0,17.0,19,353,348,0,18,27,7,0
12,75.0,2.0,0.0,11.0,7.5,7,267,238,0,4,14,11,0
126,26.0,0.0,0.0,10.0,7.0,85,442,446,0,63,21,10,0
12,14.5,0.5,0.0,38.0,19.5,1,38,39,0,0,0,10,0
114,41.5,0.0,0.0,5.0,16.0,14,602,724,0,57,0,10,0
26,63.0,2.5,5.0,26.0,16.5,3,375,388,0,25,10,10,0
1000,50.0,2.0,0.0,1.0,7.0,239,5340,3198,0,477,139,8,1
93,77.0,1.0,1.0,9.0,14.0,47,546,589,0,119,0,11,0
51,167.0,0.0,0.0,8.0,19.0,33,448,408,0,11,0,14,0
150,314.0,7.0,30.0,0.0,15.5,0,5140,2891,1,21,127,9,1
171,48.0,2.0,0.0,0.0,17.0,47,1300,2927,1,6,143,19,1
202,33.0,2.0,2.0,5.0,8.5,30,2387,711,0,29,150,13,1
50,37.5,2.0,10.0,0.0,6.0,6,952,1028,1,5,104,16,1
127,48.0,0.0,1.0,7.0,16.0,61,319,307,0,13,18,9,0
1000,86.0,3.0,9.0,1.0,9.0,15,7229,7365,1,593,105,9,1
4,95.0,3.5,10.5,34.0,17.0,0,1285,3782,0,0,98,13,1
223,29.0,0.0,2.0,4.0,16.0,45,441,359,1,65,75,13,0
285,41.0,1.0,14.0,1.0,16.0,18,4403,5002,0,45,26,17,1
116,84.0,3.0,0.0,8.0,21.0,45,311,311,0,13,0,10,0
1000,400.5,7.0,27.0,1.0,13.0,962,17006,7220,0,1074,148,30,1
343,39.0,1.0,7.0,2.0,18.0,90,6345,3282,1,70,118,18,1
34,76.0,1.5,0.0,7.0,15.0,1,486,587,0,25,11,9,0
111,39.0,0.0,9.0,7.5,17.0,67,1798,685,0,25,2,14,0
39,63.0,3.0,30.0,1.0,13.0,0,324,404,0,0,82,9,1
0,0.0,0.0,0.0,3.5,16.0,0,1074,2348,0,0,17,16,1
97,229.0,2.0,5.0,8.5,16.0,75,4135,3506,0,107,140,13,1
88,53.0,0.0,1.5,6.0,19.0,40,261,314,0,1,12,10,0
33,10.0,0.0,0.0,18.0,15.0,14,189,218,1,46,14,15,0
32,196.5,19.5,0.0,2.0,15.5,0,1798,974,0,104,132,8,1
3,141.0,12.0,0.0,284.5,21.0,0,522,350,0,2,24,9,0
447,15.0,0.0,5.0,0.0,12.0,11,1028,1174,1,1,150,11,1
2,27.0,1.0,0.0,366.0,11.0,0,89,85,0,7,0,14,0
0,0.0,0.0,0.0,3.5,16.0,0,454,4093,0,0,145,8,1
78,49.5,0.0,0.0,9.0,18.0,51,240,338,0,36,22,15,0
23,64.0,1.0,2.0,32.0,17.0,15,473,706,0,19,0,13,0
72,23.0,0.0,3.0,7.0,15.0,60,228,304,0,15,0,8,0
37,88.0,1.0,7.0,3.0,15.0,35,1208,550,0,0,149,13,0
14,67.5,0.0,0.0,1.0,20.0,10,194,105,0,0,41,7,0
173,46.0,0.0,0.0,2.0,18.0,91,226,266,0,4,0,13,0
539,102.0,5.0,9.0,1.0,8.0,119,10128,5201,1,572,113,8,1
222,169.5,5.5,29.0,1.0,11.0,206,5404,4874,0,6,145,22,1
289,64.0,0.0,2.0,4.5,17.0,114,1025,910,0,226,133,10,0
26,16.0,0.0,0.0,5.0,9.5,0,334,811,0,2,75,14,1
49,123.0,1.0,0.0,21.0,19.0,17,525,394,0,94,33,11,0
73,130.0,0.0,0.0,6.0,21.0,31,706,653,0,34,22,8,0
127,173.0,1.0,22.0,1.0,15.0,87,4033,962,0,32,47,12,1
529,26.0,0.0,6.0,0.0,16.0,251,1795,1293,0,0,137,10,1
5,107.0,5.0,0.0,29.0,21.0,3,855,1226,0,3,58,14,1
81,32.0,0.0,1.0,8.0,19.0,18,244,254,0,27,0,11,0
1000,87.0,3.0,7.0,1.0,7.0,126,15773,7500,1,83,145,8,1
20,24.0,0.0,3.0,25.0,16.0,2,353,584,0,67,0,9,0
0,0.0,0.0,0.0,3.5,16.0,0,150,1395,0,1,68,24,1
74,190.5,7.5,15.0,6.0,18.0,73,3093,1087,1,266,74,10,1
215,28.0,0.0,0.0,2.0,17.0,50,601,630,0,27,0,9,0
63,260.0,4.0,0.0,0.0,18.0,0,3773,2698,0,3,57,9,1
8,42.5,1.5,7.0,0.0,3.0,0,745,1156,1,0,144,17,1
0,0.0,0.0,0.0,3.5,16.0,0,49,125,0,0,0,11,0
150,77.0,6.5,13.0,4.0,7.5,13,5795,301,1,35,89,10,1
193,32.0,0.0,1.0,5.0,16.0,73,372,404,0,118,0,12,0
60,113.0,0.0,7.5,18.0,11.5,4,956,717,1,28,25,16,0
23,78.0,2.0,0.0,44.5,18.0,13,331,408,0,63,30,12,0
24,104.0,3.0,29.0,4.0,12.0,22,1995,852,1,17,99,17,1
121,109.0,4.0,0.0,3.0,8.0,83,1917,707,0,45,44,13,1
14,101.5,6.5,3.0,2.0,15.0,6,690,884,1,1,130,14,1
161,228.0,9.0,16.0,2.0,15.0,60,6625,2703,1,33,100,18,1
578,22.0,1.0,0.0,2.0,17.0,192,1010,1014,0,314,0,10,0
1000,138.0,6.0,29.0,1.0,14.0,73,31106,4525,1,291,131,10,1
280,61.5,1.0,1.0,4.0,17.0,71,1136,1012,0,293,0,8,0
61,123.0,1.0,3.0,5.0,19.0,61,651,615,0,22,35,9,0
317,11.0,0.0,0.0,2.0,11.0,145,2555,2144,0,77,133,10,1
30,1290.5,53.5,30.0,2.0,14.0,1,10929,363,0,18,29,13,1
73,69.0,0.0,0.0,3.0,12.0,44,653,862,0,8,90,12,0
16,47.5,0.0,0.0,52.0,16.0,2,329,348,0,22,16,6,0
46,48.5,0.0,0.0,19.0,19.0,28,315,399,0,15,57,11,0
113,583.0,8.0,16.0,1.0,15.0,40,3427,3555,1,10,136,8,0
168,84.0,2.0,1.0,3.0,15.0,87,12733,1857,1,75,76,9,1
112,50.5,2.0,6.0,2.0,16.0,90,1007,1812,1,18,140,21,1
1000,45.0,2.0,28.0,1.0,16.0,917,7101,4088,1,33,114,13,1
775,36.0,3.0,23.0,1.0,17.0,219,4426,1692,1,51,97,13,1
385,51.0,1.0,4.0,1.0,18.0,373,6391,2373,1,86,65,19,1
237,150.0,1.0,7.0,1.0,4.0,9,1478,2071,1,22,144,13,1
353,50.0,0.0,0.0,1.0,14.0,285,478,549,0,37,46,11,0
443,23.0,1.0,17.0,1.0,16.0,5,4358,6211,1,9,150,9,1
284,89.0,3.0,30.0,3.0,15.0,173,3469,1586,0,52,94,9,1
73,142.0,2.0,0.0,16.5,19.0,57,478,487,0,26,17,5,0
34,57.5,2.0,0.0,41.0,19.0,10,249,251,0,13,13,11,0
37,73.0,0.0,0.0,6.0,19.0,16,315,354,0,8,0,13,0
191,300.0,2.0,20.0,1.0,16.0,0,3170,3402,0,1,43,17,1
99,217.0,3.0,29.0,2.0,18.0,84,6766,3197,1,67,114,8,1
36,35.5,0.0,0.0,34.0,13.0,22,319,317,0,4,15,21,0
68,24.0,0.0,0.0,6.0,16.5,50,716,559,0,5,0,11,0
24,41.5,0.0,4.0,1.0,12.0,15,284,472,0,2,0,10,0
18,3.5,0.0,0.0,0.0,3.0,0,180,1237,1,0,100,23,1
25,34.0,1.0,0.0,44.5,12.0,8,344,472,0,26,0,10,0
37,33.0,0.0,0.0,2.0,14.0,0,392,560,0,2,0,7,1
1000,124.0,4.0,4.0,1.0,12.0,408,23758,7224,1,737,139,13,1
25,78.0,0.0,0.0,14.5,18.0,1,310,306,0,0,21,13,0
96,45.5,0.0,2.0,13.0,18.0,31,337,390,0,112,0,7,0
265,231.0,18.0,29.0,1.0,17.0,263,2252,1540,1,0,150,14,1
232,32.0,1.0,13.0,1.0,16.5,91,1966,2152,0,3,50,16,1
21,114.0,1.0,0.0,56.0,17.0,14,512,546,0,29,83,7,0
0,0.0,0.0,0.0,3.5,16.0,0,27,71,0,0,0,15,0
179,24.0,2.0,8.0,1.0,15.0,0,1327,6277,0,1,25,12,1
24,5.5,0.0,2.0,5.0,9.0,1,86,129,0,18,0,9,0
796,19.0,1.0,0.0,1.0,14.0,308,5600,3701,1,113,150,7,1
43,15.0,0.0,1.0,19.5,16.0,18,387,780,0,38,0,9,0
1,2.0,0.0,0.0,3.5,10.0,0,5,15,0,0,0,16,0
14,81.5,1.0,0.0,26.0,16.5,1,411,409,0,23,12,12,0
112,87.5,1.0,0.0,9.0,17.0,74,675,733,0,118,11,7,0
36,282.5,14.0,0.0,4.0,18.5,8,11802,3934,1,13,147,5,1
63,562.0,6.0,11.0,5.0,16.0,33,23284,2828,1,27,125,13,1
25,68.0,1.0,0.0,64.5,15.0,4,448,480,0,50,0,9,0
130,143.0,4.0,27.0,1.0,15.0,130,6197,1906,0,11,27,16,1
13,76.0,1.0,3.0,46.5,20.0,1,549,607,0,36,0,14,0
38,36.0,1.5,0.0,10.0,16.5,26,669,417,0,2,12,14,1
149,58.0,1.0,1.0,7.0,18.0,83,526,762,0,182,20,10,0
36,48.5,0.0,1.5,19.0,17.0,34,336,538,0,21,0,15,0
18,24.0,1.0,30.0,1.0,8.0,9,8080,714,0,0,114,13,1
687,76.0,2.0,0.0,1.0,16.0,167,325,387,0,59,40,11,0
14,54.5,3.0,1.0,16.0,11.5,4,288,322,0,21,21,9,0
62,17.5,0.0,0.0,14.0,16.0,13,176,169,0,11,0,9,0
22,34.5,0.5,0.0,37.0,10.5,6,315,314,0,1,0,11,0
1000,318.0,2.0,9.0,1.0,13.0,790,16231,2772,1,424,126,9,1
1000,61.0,0.0,29.0,1.0,14.0,938,13736,5920,1,12,150,12,1
52,56.0,1.0,2.0,0.0,16.5,1,1734,3986,1,0,97,16,1
126,14.5,0.0,0.0,6.0,15.0,53,214,307,1,16,49,9,0
106,67.0,0.0,1.0,6.0,17.0,42,1555,1105,0,106,0,14,0
41,35.0,1.0,18.0,2.0,18.0,0,678,1079,0,3,136,16,1
13,66.0,1.0,22.0,1.0,4.0,12,431,1666,1,1,123,18,1
84,78.5,1.0,0.0,10.0,17.0,26,553,728,0,25,0,9,0
17,112.0,4.0,0.0,78.0,19.0,12,249,283,0,50,59,10,0
12,149.0,6.5,0.0,33.0,18.0,2,515,460,0,4,0,12,0
672,61.0,3.0,0.0,1.0,9.0,249,4827,6408,1,315,84,17,1
143,293.0,3.0,7.0,0.0,10.0,135,2915,2111,0,44,70,11,1
1000,415.5,19.0,10.0,1.0,10.0,472,25848,5844,1,942,144,15,1
37,73.0,0.0,2.0,29.5,14.0,11,342,304,0,116,0,14,0
408,586.5,5.0,0.0,1.0,16.0,122,52480,1566,0,9,39,15,1
160,64.5,3.0,0.0,7.0,18.5,60,301,324,0,28,50,6,0
57,24.0,0.0,1.0,1.0,17.0,52,409,420,0,107,0,10,0
21,79.0,1.0,1.0,54.5,16.0,5,433,449,0,53,139,11,0
102,52.0,1.0,0.0,4.0,18.0,51,329,259,0,27,14,10,0
222,166.5,2.0,16.0,2.0,17.0,206,1250,789,1,68,14,11,0
413,79.0,2.0,0.0,1.0,15.0,268,1594,2587,1,18,119,13,1
58,147.0,2.0,1.0,9.0,20.0,32,600,600,0,0,58,13,0
193,39.0,0.0,1.0,3.0,18.0,86,393,455,0,18,17,8,0
254,37.0,1.0,0.0,2.0,18.0,187,1640,2580,1,54,71,14,1
10,86.5,2.0,0.0,24.0,19.0,7,593,895,0,13,0,10,0
868,121.0,4.0,2.0,1.0,6.0,844,9406,4630,1,551,149,10,1
9,18.0,0.0,0.0,42.0,16.0,0,187,172,0,11,0,6,0
51,762.0,127.0,0.0,1.5,4.0,45,40002,2528,0,231,102,9,1
405,74.0,1.0,1.0,2.0,18.0,207,913,837,0,121,1,11,0
1000,108.0,3.0,17.0,1.0,12.0,789,6529,3310,1,370,94,12,1
11,15.0,1.0,0.0,1.0,7.0,0,927,5067,1,0,129,27,1
1,3.0,0.0,0.0,3.5,10.0,1,377,259,0,0,113,11,1
104,38.0,0.0,0.0,1.0,20.5,65,295,364,0,6,0,9,0
25,28.0,3.0,0.0,32.5,19.0,2,200,237,0,56,0,6,0
379,247.0,4.0,23.0,1.0,17.0,11,7490,4852,1,3716,143,22,1
98,27.0,0.0,0.0,5.0,17.0,12,3669,391,1,29,128,14,1
1000,97.0,3.0,18.0,1.0,7.0,888,4364,7502,1,399,106,14,1
52,15.0,0.0,1.0,7.0,18.0,39,280,433,1,3,56,14,0
75,94.0,1.0,0.0,9.0,19.0,20,421,465,0,44,24,15,0
5,63.0,2.0,3.0,3.0,8.0,4,345,362,0,5,0,12,0
76,60.5,2.0,0.0,12.0,13.0,23,257,712,0,2,30,9,0
584,29.5,1.0,0.0,2.0,6.0,22,1285,2755,0,31,112,14,1
42,42.5,0.5,0.0,1.0,16.0,0,2710,756,0,0,125,13,1
46,180.0,2.0,22.0,0.0,12.0,4,38034,770,1,1,141,11,1
64,367.5,4.0,0.0,7.0,6.5,0,2402,1729,0,24,39,11,1
569,63.0,1.0,1.0,2.0,16.0,264,1015,978,1,73,118,10,0
0,0.0,0.0,0.0,3.5,16.0,0,79,88,0,5,0,7,0
7,69.0,1.0,0.0,21.0,20.0,0,159,168,0,9,33,10,0
121,119.0,2.0,26.0,5.0,17.0,106,2070,2106,0,0,18,27,1
206,108.0,5.0,3.0,1.0,13.0,198,9750,2188,1,57,120,10,1
13,187.0,9.0,9.0,3.0,18.0,0,1458,5712,0,0,150,15,1
